cocktailName,cocktailNameKo,alcoholStrength,cocktailStory,cocktailType,alcoholBaseType,ingredient,recipe,cocktailImgUrl
Addison,애디슨,LIGHT,"이 칵테일은 '클래식한 우아함'을 상징해요. 1920년대 재즈 시대, 화려한 파티에서 자신만의 스타일을 뽐내던 매혹적인 여성들이 즐겨 마시던 칵테일이죠. 진의 시크함과 베르무트의 깊은 풍미가 어우러져 시대를 초월하는 세련미를 보여줘요. 애디슨은 유행에 휩쓸리지 않고 자신만의 개성을 추구하는 당신에게 잘 어울려요.",CLASSIC,GIN,"진:1 1/2 parts, 베르무트:1 1/2 parts",모든 재료를 함께 흔들어 차가운 글라스에 따라 줍니다.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg
Acapulco,아카풀코,LIGHT,아카풀코는 1940년대 멕시코의 유명 휴양지 아카풀코 해변에서 탄생했어요. 뜨거운 태양 아래에서 시원한 휴가를 즐기던 할리우드 스타들이 즐겨 마셨다고 해요. 라임의 상큼함과 민트의 청량함이 어우러져 한 모금만 마셔도 눈부신 햇살과 파도 소리가 느껴지는 듯하죠. 아카풀코 칵테일은 일상에서 벗어나 자유와 낭만을 만끽하고 싶은 당신에게 완벽한 선택이 될 거예요.,SHORT,RUM,"라이트 럼:1 1/2 oz, 트리플 섹:1 1/2 tsp, 라임 주스:1 tblsp, 설탕:1 tsp, 달걀 흰자:1 egg white, 민트:1 mint sprig","민트를 제외한 모든 재료를 얼음과 함께 섞어 올드패션드 글라스에 따라 주고, 민트 가지를 올려 제공합니다.",https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg
Affinity,어피니티,MEDIUM,"친밀함'을 뜻하는 이름처럼, 이 칵테일은 소중한 친구와의 우정을 상징해요. 스카치의 묵직함과 베르무트의 달콤함이 어우러져 마치 오랜 시간 함께하며 쌓아온 깊은 관계를 표현하는 듯하죠. 어색함 없이 서로의 고민을 나누고, 진심으로 축하해 주는 친구와 함께 마실 때 가장 빛나는 칵테일입니다.",CLASSIC,WHISKY,"스카치:1 1/2 oz, 스위트 베르무트:1 oz, 드라이 베르무트:1 oz, 오렌지 비터스:2 dashes",얼음을 절반 정도 채운 믹싱 글라스에 모든 재료를 넣고 잘 저은 뒤 칵테일 글라스에 거릅니다.,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg
Aviation,애비에이션,STRONG,"비행'이라는 뜻처럼, 이 칵테일은 새로운 곳으로의 여행을 꿈꾸는 당신을 위한 음료예요. 푸른빛은 하늘을, 마라시노 리큐어는 설레는 마음을 상징하죠. 한 모금 마실 때마다 마치 구름 위를 걷는 듯한 가볍고 몽환적인 기분을 느낄 수 있어요. Aviation 칵테일과 함께 상상 속 여행을 떠나보는 건 어떨까요?",CLASSIC,GIN,"진:4.5 cl, 레몬 주스:1.5 cl, 마라스키노 리큐르:1.5 cl","모든 재료를 얼음을 채운 칵테일 셰이커에 넣고 잘 흔든 뒤, 체리로 장식하여 칵테일 글라스에 따라 줍니다.",https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg
Applejack,애플잭,STRONG,"이 칵테일은 호기심 많고 도전적인 20대 여성을 위한 이야기에서 시작돼요. '사과잭'이라는 이름은 금지된 사과를 몰래 맛본 이브처럼, 자유롭고 짜릿한 일탈을 꿈꾸는 현대 여성의 모습을 담고 있어요. 잭 다니엘스의 강렬함과 미도리의 달콤함이 만나 예상치 못한 반전 매력을 선사하죠. 틀에 박힌 일상에 지루함을 느낀다면, 애플잭 한 잔으로 새로운 활력과 짜릿한 경험을 만끽해 보세요.",CLASSIC,WHISKY,"애플 브랜디:1 oz, 미도리 멜론 리큐르:1/2 oz, 사워 믹스:2 oz",모든 재료를 믹싱 글라스에 넣어 차갑게 한 뒤 칵테일 글라스에 거릅니다.,https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg
Afterglow,애프터글로우,NON_ALCOHOLIC,"여운'이라는 뜻의 이름처럼, 이 칵테우리는 모든 것이 끝난 뒤에도 남는 따뜻한 감정을 표현해요. 파티가 끝난 후, 소중한 사람들과의 즐거웠던 시간을 곱씹으며 마시던 칵테일이었죠. 그레나딘의 붉은빛은 행복했던 순간을, 오렌지와 파인애플 주스는 달콤한 추억을 상징해요. Afterglow는 특별한 순간의 여운을 오래도록 간직하고 싶은 당신에게 가장 잘 어울리는 칵테일입니다.",LONG,OTHER,"그레나딘:1 part, 오렌지 주스:4 parts, 파인애플 주스:4 parts",섞어 얼음 위에 따라 줍니다.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg
Afternoon,애프터눈,WEAK,"마법 같은 오후'라는 의미를 담고 있는 칵테일이에요. 나른한 오후, 따뜻한 햇살 아래에서 마시는 한 잔의 커피처럼 편안함과 행복을 선사하죠. 부드러운 크림과 달콤한 프란젤리코가 어우러져 마치 동화 속 주인공이 된 듯한 기분을 느끼게 해줄 거예요. 여유로운 주말 오후, 소중한 사람과 함께 Afternoon 칵테일을 마시며 특별한 시간을 보내보세요.",LONG,LIQUEUR,"깔루아:1 cl, 베일리스 아이리시 크림:1 cl, 프랑젤리코:1 1/2, 커피:4 cl hot, 크림:1/2 shot","적절한 글라스에 얼음 없이 재료를 담고, 원하면 크림을 위에 올립니다.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg
Alexander,알렉산더,MEDIUM,"1920년대 유럽 상류 사회에서 즐겨 마시던 칵테일로, 세련되고 우아한 여성들의 상징이었어요. 부드러운 크림과 달콤한 카카오의 조합은 마치 고급스러운 초콜릿 케이크를 먹는 듯한 느낌을 주죠. 알렉산더 칵테일은 소중한 사람과 함께하는 특별한 날, 분위기를 더욱 로맨틱하게 만들어줄 거예요.",CLASSIC,GIN,"진:1/2 oz, 크렘 드 카카오:1/2 oz white, 라이트 크림:2 oz, 넛맥:1 dash","얼음과 함께 모든 재료를 흔들어 칵테일 글라스에 따라주고, 넛맥을 뿌려 제공합니다.",https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg
Autodaf,아우토다페,STRONG,"자유'와 '해방'을 의미하는 칵테일이에요. 칵테일의 주 재료인 보드카와 라임, 소다수의 조합은 복잡한 맛보다는 깔끔하고 시원한 청량감을 선사하죠. 마치 모든 것을 털어내고 새로운 시작을 하는 듯한 느낌을 줘요. Autodaf 칵테일은 복잡한 관계나 고민에서 벗어나고 싶을 때, 당신에게 필요한 상쾌함을 가져다줄 거예요.",LONG,VODKA,"보드카:4 cl, 라임 주스:1 dash, 소다 워터:1/2 shot",섞고 탄산수로 채웁니다. 핀란드에서는 어느 때나 햇볕 좋은 날 즐깁니다.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg
Allegheny,알레게니,STRONG,이 칵테일은 미국 앨러게니 산맥의 짙푸른 숲과 아름다운 풍경에서 영감을 받았어요. 버번의 부드러움과 블랙베리 브랜디의 새콤달콤함이 어우러져 마치 숲속을 산책하는 듯한 기분을 선사하죠. 복잡한 도시에서 벗어나 자연의 품에서 휴식을 취하고 싶은 당신에게 완벽한 음료가 될 거예요.,CLASSIC,WHISKY,"드라이 베르무트:1 oz, 버번:1 oz, 블랙베리 브랜디:1 1/2 tsp, 레몬 주스:1 1/2 tsp, 레몬 껍질:1 twist of","레몬 껍질을 제외한 모든 재료를 얼음과 함께 흔들어 칵테일 글라스에 따라주고, 레몬 껍질을 올려 제공합니다.",https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg
Americano,아메리카노,MEDIUM,"19세기 이탈리아의 카페에서 처음 만들어진 이 칵테일은, 당시 이탈리아를 여행하던 미국인들에게 큰 인기를 얻으며 '아메리카노'라는 이름이 붙었어요. 캄파리의 쌉싸름한 맛과 베르무트의 달콤함이 어우러져 마치 쓴맛과 단맛이 공존하는 인생을 표현하는 듯해요. 아메리카노 칵테일은 단순한 음료가 아닌, 삶의 복잡 미묘한 맛을 음미하는 여유를 선사합니다.",LONG,OTHER,"캄파리:1 oz, 스위트 베르무트:1 oz red, 레몬 껍질:1 Twist of, 오렌지 껍질:1 Twist of","캄파리와 베르무트를 얼음 위에 붓고, 소다수를 조금 넣은 뒤 오렌지 반 조각으로 장식합니다.",https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg
B-52,비-52,VERY_STRONG,"공중 폭격기 B-52의 이름에서 따온 이 칵테일은, 층을 이루는 비주얼이 특징이에요. 베일리스, 깔루아, 그랑 마르니에가 층층이 쌓여 있어 마치 폭탄이 터지는 것처럼 강렬하고 다채로운 맛을 선사하죠. B-52는 평범한 파티를 특별하게 만들고 싶은 당신에게 짜릿한 즐거움을 선사할 거예요.",SHOOTER,LIQUEUR,"베일리스 아이리시 크림:1/3 shot, 그랑 마니에:1/3 shot, 깔루아:1/4 shot",숏 글라스에 층을 이루어 담습니다.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg
B-53,비-53,VERY_STRONG,"칵테일의 재료인 깔루아, 삼부카, 그랑 마르니에가 층을 이루는 모습이 마치 징검다리처럼 보여요. 인생의 중요한 순간들, 예를 들어 졸업, 취업, 이직 등 새로운 도전 앞에서 한 걸음씩 나아가는 당신의 모습을 응원하는 칵테일이죠. B-53은 당신의 용기와 열정을 더욱 빛나게 해줄 거예요.",LONG,LIQUEUR,"깔루아:1/3 shot, 삼부카:1/3 shot, 그랑 마니에:1/3 shot","Kahlua, Sambucca, Grand Marnier 순으로 숏 글라스에 층을 이룹니다. B-52보다 맛있습니다.",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg
Bijou,비주,STRONG,"보석'이라는 뜻의 이름처럼, 이 칵테일은 마치 보석처럼 아름다운 빛깔을 뽐내요. 진의 투명함, 샤르트뢰즈의 에메랄드빛, 베르무트의 루비색이 어우러져 한눈에 반할 만한 매력을 보여주죠. 비주 칵테일은 특별한 날, 나 자신을 위한 작은 선물로 제격이에요.",CLASSIC,GIN,"오렌지 비터스:1 dash, 그린 샤르트뢰즈:1 oz, 진:1 oz, 스위트 베르무트:1 oz",얼음과 함께 믹싱 글라스에서 저은 뒤 거릅니다.,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg
Boxcar,박스카,STRONG,"19세기 미국의 기차 여행에서 탄생한 칵테일이에요. 기차의 짐칸(Boxcar)에서 여행의 낭만을 즐기던 사람들이 만들어 마셨다고 전해지죠. 진의 상큼함과 트리플 섹의 달콤함, 그리고 그레나딘의 화려한 색깔이 어우러져 마치 기차 창밖으로 스쳐 지나가는 아름다운 풍경처럼 다채로운 매력을 선사해요.",SHORT,GIN,"진:1 1/2 oz, 트리플 섹:1 oz, 레몬 주스:1 tsp, 그레나딘:1/2 tsp, 달걀 흰자:1 ea","얼음을 절반 정도 채운 셰이커에 모든 재료를 넣고 잘 흔든 뒤, 사워 글라스에 거릅니다.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg
Big Red,빅 레드,STRONG,이름처럼 강렬한 이 칵테일은 '새로운 시작'을 응원하는 의미를 담고 있어요. 아일랜드 크림의 부드러움과 골드슈라거의 강렬한 계피 향이 만나 마치 인생의 달콤함과 씁쓸함을 동시에 맛보는 것 같죠. 빅 레드는 중요한 결정을 앞두고 있거나 새로운 도전을 시작하는 당신에게 용기와 자신감을 불어넣어 줄 거예요.,SHOOTER,LIQUEUR,"아이리시 크림:1/2 oz, 골드슐래거:1/2 oz",1온스 숏 글라스에 재료를 붓습니다.,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg
Bellini,벨리니,LIGHT,"이탈리아 베네치아의 한 바에서 탄생한 칵테일로, 유명 화가 조반니 벨리니의 작품에서 영감을 받아 이름이 붙여졌어요. 샴페인의 우아함과 복숭아의 달콤함이 만나 마치 사랑에 빠진 듯한 설렘을 느끼게 하죠. 벨리니는 사랑하는 사람과 함께하는 로맨틱한 순간에 완벽하게 어울립니다.",CLASSIC,LIQUEUR,"샴페인:6 oz, 피치 슈냅스:1 oz",냉장 플루트 글라스에 복숭아 퓨레를 붓고 스파클링 와인을 추가합니다. 부드럽게 저어줍니다.,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg
Bramble,브램블,MEDIUM,"가시덤불'이라는 뜻의 이름처럼, 이 칵테일은 험난한 역경 속에서도 아름다움을 잃지 않는 당신을 위한 음료예요. 진의 강렬함과 레몬의 새콤함, 그리고 블랙베리의 달콤함이 어우러져 마치 인생의 쓴맛과 단맛을 동시에 느끼게 하죠. 브램블은 힘든 시간을 보내고 있는 당신에게 위로와 용기를 줄 거예요.",SHORT,GIN,"진:4 cl, 레몬 주스:1.5 cl, 설탕 시럽:1 cl, 크렘 드 뮈르:1.5 cl","글라스를 얼음으로 채우고, 진, 레몬 주스, 설탕 시럽을 층층이 쌓습니다. 블랙베리 리큐르를 원을 그리며 부어 마블 효과를 만듭니다. 블랙베리 두 개와 레몬 조각으로 장식합니다.",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg
Balmoral,발모럴,MEDIUM,스코틀랜드 여왕의 별장 발모랄 성에서 유래된 칵테일이에요. 스카치 위스키의 고풍스러운 맛과 베르무트의 우아한 풍미가 어우러져 마치 성에서 열리는 비밀스러운 무도회에 참석한 듯한 기분을 선사하죠. 발모랄은 평범한 일상에 특별한 품격을 더하고 싶은 당신에게 완벽한 선택이 될 거예요.,CLASSIC,WHISKY,"스카치:1 1/2 oz, 스위트 베르무트:1/2 oz, 드라이 베르무트:1/2 oz, 비터스:2 dashes",얼음을 절반 정도 채운 믹싱 글라스에 모든 재료를 넣고 잘 저은 뒤 칵테일 글라스에 거릅니다.,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg
Bluebird,블루버드,MEDIUM,"파랑새'라는 이름처럼, 이 칵테일은 행복을 찾아 떠나는 여행을 상징해요. 블루 큐라소의 영롱한 푸른빛은 우리가 꿈꾸는 이상적인 세상을, 진과 마라스키노 체리는 그 꿈을 향해 나아가는 즐거운 발걸음을 표현하죠. 블루버드 칵테일은 일상에 지쳐 잠시 잊고 살았던 '나만의 행복'을 다시 찾아줄 거예요.",CLASSIC,GIN,"진:1 1/2 oz, 트리플 섹:1/2 oz, 블루 큐라소:1/2 oz, 비터스:2 dashes, 마라스키노 체리:1 ea, 레몬 껍질:1 twist of","얼음을 절반 정도 채운 믹싱 글라스에 진, 트리플 섹, 쿠라소, 비터스를 넣고 잘 저어 칵테일 글라스에 따라 줍니다. 레몬 트위스트와 체리로 장식합니다.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg
Brooklyn,브루클린,STRONG,뉴욕 브루클린의 낭만과 활기를 담은 칵테일이에요. 라이 위스키의 묵직함에 베르무트의 드라이한 맛이 더해져 복잡하지만 매력적인 도시의 밤을 연상시키죠. 브루클린은 자유롭고 개성 있는 당신의 스타일을 돋보이게 해줄 거예요.,CLASSIC,WHISKY,"라이 위스키:2 oz, 드라이 베르무트:1 oz, 마라스키노 리큐르:1/4 oz, 앙고스투라 비터스:3 dashes, 마라스키노 체리:1 ea","재료를 얼음과 함께 섞어 차갑게 한 뒤, 칵테일 글라스에 따라 줍니다.",https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg
Bora Bora,보라보라,NON_ALCOHOLIC,남태평양의 아름다운 섬 보라보라에서 영감을 받은 칵테일이에요. 파인애플과 패션프루트의 상큼함이 어우러져 마치 에메랄드빛 바다가 펼쳐진 해변에 앉아 있는 듯한 기분을 선사하죠. 보라보라 칵테일은 복잡한 현실에서 벗어나 오직 나만을 위한 시간을 갖고 싶을 때 완벽한 선택이 될 거예요.,LONG,OTHER,"파인애플 주스:10 cl, 패션프루트 주스:6 cl, 레몬 주스:1 cl, 그레나딘:1 cl","블렌더 또는 셰이커로 준비하고, 하이볼 글라스에 얼음을 채워 제공합니다. 파인애플 조각과 체리로 장식합니다.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg
Boomerang,부메랑,MEDIUM,"부메랑'이라는 이름처럼, 이 칵테일은 예상치 못한 즐거움을 가져다주는 반전 매력을 지녔어요. 진의 깔끔함과 마라스키노 리큐어의 달콤함이 어우러져 마치 잊고 있던 추억이 부메랑처럼 돌아와 기분 좋은 놀라움을 선사하는 듯하죠. 부메랑은 당신의 일상에 즐거운 활력을 불어넣어 줄 거예요.",CLASSIC,GIN,"진:2 oz, 드라이 베르무트:1/2 oz, 비터스:2 dashes, 마라스키노 리큐르:1/2 tsp, 마라스키노 체리:1 ea","얼음을 절반 정도 채운 믹싱 글라스에 진, 베르무트, 비터스, 마라스키노 리큐르를 넣고 잘 저은 뒤 칵테일 글라스에 따라 체리로 장식합니다.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg
Barracuda,바라쿠다,STRONG,"바라쿠다'라는 이름처럼, 이 칵테일은 강렬하고 짜릿한 반전 매력을 지녔어요. 럼의 이국적인 향과 파인애플 주스의 달콤함 뒤에 숨겨진 프로세코의 탄산은 마치 예상치 못한 사랑에 빠진 듯한 설렘을 느끼게 하죠. 이 칵테일은 특별한 데이트나 파티에서 당신의 매력을 더욱 돋보이게 해줄 거예요.",CLASSIC,RUM,"럼:4.5 cl, 갈리아노:1.5 cl, 파인애플 주스:6 cl, 라임 주스:1 dash, 프로세코:0 top up",재료를 얼음과 함께 흔든 뒤 스파클링 와인으로 마무리합니다.,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg
Brigadier,브리게이디어,STRONG,"이 칵테일은 추운 겨울, 따뜻한 벽난로 옆에서 소중한 사람과 이야기를 나누던 낭만적인 밤을 떠올리게 해요. 따뜻한 핫초코에 그린 샤르트뢰즈와 체리 히어링이 더해져 마치 사랑의 온기가 퍼지는 듯한 느낌을 주죠. 브리가디어는 추운 날씨에 마음을 따뜻하게 녹여줄 특별한 음료가 될 거예요.",CLASSIC,LIQUEUR,"핫 초콜릿:4 oz, 그린 샤르트뢰즈:1 oz, 체리 히어링:1 oz",따뜻한 머그에 재료를 섞어 제공합니다.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg
Broadside,브로드사이드,VERY_STRONG,"선측 일제 사격'이라는 뜻의 이름처럼, 이 칵테일은 당신의 삶에 짜릿하고 강렬한 자극을 선사해요. 151 프루프 럼과 스카치의 거친 조합은 마치 용감한 해적이 되어 새로운 모험을 떠나는 듯한 기분을 느끼게 해줘요. 브로드사이드는 일상에 지쳐 새로운 활력이 필요한 당신에게 완벽한 음료가 될 거예요.",LONG,RUM,"151 프루프 럼:1 shot, 스카치:1/2 shot, 비터스:3 drops, 웜우드:1 Fresh, 얼음:5 cubes","글라스를 얼음으로 반 정도 채웁니다. 쑥을 으깨 얼음 위에 넣고, 럼과 스카치, 버터를 붓습니다.",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg
Buccaneer,버커니어,STRONG,"해적'이라는 이름처럼, 이 칵테일은 자유로운 모험을 꿈꾸는 당신을 위한 음료예요. 코로나의 시원함과 바카디 리몬의 상큼함이 만나 마치 해적선 위에서 거친 파도를 가르는 듯한 짜릿함을 선사하죠. 부카니어는 일상에 지쳐 새로운 자극이 필요한 당신에게 활력을 불어넣어 줄 거예요.",LONG,RUM,"코로나:1 shot, 바카디 리몬:1 shot","18온스 맥주 글라스에 코로나를 붓고, 바카디 레몬을 추가해 부드럽게 저어줍니다.",https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg
